Date,Message,Permalink,Platform,Type
2021-06-20T12:02:32Z,Make sure to get vaccinated so you can still be infected and infectious 🤣😂🤣😂,https://www.facebook.com/MMAMVAUSTRALIA/posts/336358761417892,facebook,SharedAPostOnFacebookActivity
2022-01-10T10:32:32Z,Amy Hooke Canberra. Across the road from old Parliament House,https://www.facebook.com/MMAMVAUSTRALIA/videos/328179772497732/?comment_id=328219425827100&reply_comment_id=328220299160346,facebook,CommentedOnFacebookActivity
2021-12-31T07:25:52Z,"Chrissie Groen amazing, thank you!!",https://www.facebook.com/MMAMVAUSTRALIA/videos/466801321474485/?comment_id=466862498135034&reply_comment_id=466914594796491,facebook,CommentedOnFacebookActivity
2022-01-14T14:09:50Z,This is what our elders are currently going through while laying on the grass under a tarp 😢 Shame to all involved in making this happen.,https://www.facebook.com/MMAMVAUSTRALIA/posts/468300468223720?comment_id=468336958220071,facebook,CommentedOnFacebookActivity
2021-12-27T04:07:32Z,"If you came to Canberra today to join in and support the stand, you would of been witness to amazing cultural demonstration and education.",https://www.facebook.com/MMAMVAUSTRALIA/posts/456976102689490,facebook,PostedOnFacebookActivity
2021-11-24T07:23:51Z,"URGENT CALL TO ACTION: Millions March Rally/Protest This Saturday, you demanded more sound! We’ve got more sound, and it costs! We’ve got a bigger stage, and to deliver the very best event they need your help! This is an URGENT CALL TO ACTION, to everyone.. the sitting cost right now for us to put on the bigger equipment for Saturday with the huge expected crowd is just over $20K! We have two full days left to do this, to make this happen. If every body donated even just $10, we would smash this goal today! If you can help out by donating via the bank account of Millions March (the official organisers) it would be very much appreciated. BANK ACCOUNT: MMAMV BSB: 325185 ACC: 03536030 No amount is to small, but $10 would really contribute!! We understand times are tough and that’s why we want the best sound for everyone to hear who is joining us, in FIGHTING FOR THEIR JOBS!",https://www.facebook.com/MMAMVAUSTRALIA/posts/437052951348472,facebook,PostedOnFacebookActivity
2021-03-07T22:56:22Z,"Mob need to speak up. We need to ask questions. We need to educate our families. Here is the start produced by the NSW Freedom Keepers (check them out on Instagram). So much love to the crew, Stevie and Tay, and everyone that got their videos in asking questions. #justasking 🖤💛❤️",https://www.facebook.com/MMAMVAUSTRALIA/posts/269024771484625,facebook,SharedAPostOnFacebookActivity
2021-11-29T06:43:57Z,"Sunday was one of the most rewarding and inspiring days in all the years that we have been creating rallies. It was overwhelming to witness how far we have come as a movement and more than once was I moved to tears looking at how many people are now standing with us and how ready this country is for a change. I’m sure this affected many people in different ways. You probably didn’t see but there were many tears on stage from our speakers, many who have been speaking about vaccines long before covid, and long before anyone would listen. To see how far we have come in such a short time is thanks to YOU ALL!! I won't disrespect the day, the speakers or the amazing people who turned up by drawing rumours, gossip, other people and their actions outside of our rally into it. What I'm choosing to focus on is how to keep the momentum going, and using the energy and connection we co created on Sunday, making sure we stay focused, strong and move forward as a community, together. We can affect meaningful and long lasting change. MMAMV represents a very niche subject, yet touches all of us. Mandatory vaccines. That is all. We ask for respect and choice, the ability to choose what's best for ours and our children's bodies. MMAMV does not have a particular political leaning or a religious dogma or any kind of background agenda. We stand for YOU ALL. We stand in integrity and authenticity. We cannot be moved because we stand for the children and the future. This goes beyond us and reaches far into generations to come. We must act now, and coming this far, we will not back down. Thanks to everyone who came and contributed to making it such a positive celebration of community and the way forward. We are winning!!!! (Attached are some highlights from the weekend, along with some shots from our first national event in May 2020.) We look forward to seeing you all (and more) at our next offical MMAMV events, and also look forward to supporting in any way any other people and groups that are also fighting for us all. #mmamv #freedomkeepersunited #wegotthis #togetherunited",https://www.facebook.com/MMAMVAUSTRALIA/posts/440042267716207,facebook,PostedOnFacebookActivity
2021-07-05T07:28:34Z,,https://www.facebook.com/MMAMVAUSTRALIA/posts/345883197132115,facebook,SharedAPostOnFacebookActivity
2022-02-08T09:09:38Z,And update about the AVN's court case and what is happening in the world of vaccination today.,https://www.facebook.com/MMAMVAUSTRALIA/posts/483694476684319,facebook,SharedAPostOnFacebookActivity
